DetectionID,Timestamp,Zone,DwellTime_s,EngagementScore,AI_Confidence
ANON-20b27f,2026-02-25 22:49:00,Checkout,11005.25,21.825610178551088,0.94
ANON-51b178,2026-02-25 22:55:11,Entrance,14.43,33.99,0.81
ANON-63ff08,2026-02-25 22:56:13,Checkout,196.56,71.38,0.94
ANON-996c9d,2026-02-25 22:59:13,Entrance,34.39,47.54,0.77
ANON-07616d,2026-02-25 23:01:48,Checkout,125.35,73.72,0.95
ANON-766911,2026-02-25 23:02:05,High-Conv,508.36,100.0,0.98
ANON-5a4d60,2026-02-25 23:02:28,Checkout,122.85,71.7,0.89
ANON-30fa7e,2026-02-25 23:03:38,High-Conv,347.53,83.41,0.95
ANON-b59fea,2026-02-25 23:03:45,Checkout,150.57,63.62,0.86
ANON-0cb889,2026-02-25 23:07:16,High-Conv,320.25,77.41,0.96
ANON-c3e090,2026-02-25 23:09:19,Checkout,150.69,67.93,0.91
ANON-4b6306,2026-02-25 23:09:33,Checkout,138.27,74.35,0.88
ANON-f79523,2026-02-25 23:10:10,High-Conv,148.31,65.18,0.85
ANON-f8d9df,2026-02-25 23:11:46,High-Conv,584.94,100.0,0.9
ANON-a02778,2026-02-25 23:15:39,Checkout,141.93,67.67,0.97
ANON-7f6b16,2026-02-25 23:16:21,Checkout,144.8,68.57,0.99
ANON-29d4f9,2026-02-25 23:18:06,High-Conv,182.49,77.43,0.9
ANON-d32ddc,2026-02-25 23:20:03,High-Conv,246.6,71.13,0.97
ANON-002323,2026-02-25 23:21:20,Entrance,21.29,30.3,0.84
ANON-5ee4a8,2026-02-25 23:21:28,Checkout,137.78,63.51,0.87
ANON-8e5d47,2026-02-25 23:21:46,High-Conv,237.58,75.94,0.94
ANON-2c052a,2026-02-25 23:22:15,High-Conv,381.12,85.99,0.85
ANON-2608b3,2026-02-25 23:23:13,High-Conv,473.87,87.77,0.93
ANON-97bc98,2026-02-25 23:24:53,Checkout,100.18,61.26,0.92
ANON-8d722f,2026-02-25 23:27:13,Entrance,26.64,48.14,0.88
ANON-69d946,2026-02-25 23:28:14,Checkout,141.61,62.1,0.91
ANON-86ca65,2026-02-25 23:29:28,Checkout,140.38,64.34,0.92
ANON-547599,2026-02-25 23:30:37,Entrance,32.65,41.84,0.78
ANON-11a16d,2026-02-25 23:31:31,High-Conv,206.65,75.17,0.95
ANON-b84014,2026-02-25 23:33:14,High-Conv,532.0,100.0,0.88
ANON-754cd6,2026-02-25 23:35:24,Entrance,32.99,46.18,0.83
ANON-0b4752,2026-02-25 23:38:51,Checkout,114.24,64.16,0.92
ANON-799558,2026-02-25 23:39:36,Checkout,157.82,68.3,0.96
ANON-14abb7,2026-02-25 23:40:18,High-Conv,387.6,92.7,0.94
ANON-418563,2026-02-25 23:43:17,Checkout,184.44,79.27,0.92
ANON-131789,2026-02-25 23:43:31,High-Conv,184.49,64.69,0.96
ANON-e4196d,2026-02-25 23:45:26,High-Conv,247.49,81.64,0.99
ANON-4b175c,2026-02-25 23:45:39,Checkout,59.18,50.91,0.86
ANON-e9047c,2026-02-25 23:49:25,High-Conv,258.74,76.07,0.95
ANON-c4eec4,2026-02-25 23:53:00,Entrance,48.15,45.36,0.84
ANON-64ca2d,2026-02-25 23:59:01,Checkout,163.14,66.58,0.95
ANON-fb6123,2026-02-26 00:03:29,High-Conv,160.91,59.93,0.95
ANON-3ee0d2,2026-02-26 00:04:22,High-Conv,14335.31,21.490293473891448,0.9
ANON-d3d485,2026-02-26 00:08:28,High-Conv,316.41,83.76,0.99
ANON-8e41f6,2026-02-26 00:09:47,Checkout,213.59,76.14,0.87
ANON-48c067,2026-02-26 00:10:46,High-Conv,567.92,100.0,0.92
ANON-17a1dd,2026-02-26 00:11:49,Checkout,56.79,59.54,0.98
ANON-616305,2026-02-26 00:24:02,High-Conv,320.52,77.19,0.85
ANON-6903f3,2026-02-26 00:24:49,Entrance,50.17,52.08,0.73
ANON-16695d,2026-02-26 00:26:13,Entrance,19.02,36.22,0.79
ANON-bc0921,2026-02-26 00:26:28,Checkout,123.39,64.41,0.96
ANON-7bf010,2026-02-26 00:29:31,Entrance,24.49,32.92,0.7
ANON-7302d2,2026-02-26 00:35:44,Checkout,103.18,59.38,0.86
ANON-5a0116,2026-02-26 00:36:46,High-Conv,457.84,100.0,0.96
ANON-4b2dda,2026-02-26 00:44:50,Checkout,107.69,53.73,0.96
ANON-513bbe,2026-02-26 00:46:54,High-Conv,442.48,85.29,0.94
ANON-f6da34,2026-02-26 00:49:36,Entrance,34.86,45.23,0.75
ANON-bae6ce,2026-02-26 00:50:24,Checkout,80.63,55.86,0.94
ANON-243c4d,2026-02-26 00:50:46,High-Conv,348.71,91.31,0.95
ANON-f6a24a,2026-02-26 00:52:28,Entrance,23.22,39.04,0.84
ANON-76710e,2026-02-26 00:55:13,Entrance,29.97,45.56,0.77
ANON-3e2a62,2026-02-26 00:56:25,High-Conv,303.92,90.06,0.89
ANON-487275,2026-02-26 00:56:38,Checkout,158.05,58.95,0.97
ANON-489fc1,2026-02-26 00:56:50,High-Conv,211.61,73.65,0.93
ANON-e54312,2026-02-26 00:57:40,High-Conv,334.86,90.85,0.99
ANON-4487fd,2026-02-26 01:01:14,High-Conv,263.78,82.0,0.98
ANON-335ccc,2026-02-26 01:03:53,High-Conv,206.58,75.13,0.87
ANON-cba748,2026-02-26 01:05:05,High-Conv,251.36,77.09,0.86
ANON-2e4669,2026-02-26 01:05:30,Checkout,58.28,53.94,0.95
ANON-db3a12,2026-02-26 01:10:37,Entrance,22.86,44.94,0.7
ANON-f428a3,2026-02-26 01:10:38,High-Conv,439.78,85.51,0.88
ANON-fa998b,2026-02-26 01:10:46,Checkout,125.69,60.19,0.94
ANON-5057b2,2026-02-26 01:12:24,Checkout,148.12,78.83,0.98
ANON-9c7b1b,2026-02-26 01:12:53,Checkout,190.38,75.09,0.97
ANON-2d1664,2026-02-26 01:15:39,High-Conv,443.97,84.33,0.92
ANON-321923,2026-02-26 01:16:42,Checkout,228.97,72.54,0.94
ANON-ed9870,2026-02-26 01:18:18,Checkout,125.75,63.67,0.94
ANON-314a92,2026-02-26 01:18:39,High-Conv,381.48,95.71,0.97
ANON-d38b6b,2026-02-26 01:21:11,Entrance,33.52,44.02,0.73
ANON-531ffd,2026-02-26 01:22:13,Entrance,27.51,33.71,0.65
ANON-3b0665,2026-02-26 01:23:30,High-Conv,539.7,96.68,0.9
ANON-51cf85,2026-02-26 01:26:26,Checkout,127.32,55.45,0.87
ANON-6d4f44,2026-02-26 01:26:40,Entrance,15.6,32.26,0.71
ANON-74c021,2026-02-26 01:28:12,Checkout,31.22,38.62,0.95
ANON-d5f1c7,2026-02-26 01:29:51,Entrance,35.35,36.69,0.68
ANON-083155,2026-02-26 01:30:22,High-Conv,407.05,89.74,0.85
ANON-ce2333,2026-02-26 01:30:52,Entrance,26.55,49.22,0.77
ANON-4f4770,2026-02-26 01:32:49,High-Conv,223.68,81.68,0.91
ANON-657257,2026-02-26 01:32:51,High-Conv,304.69,76.42,0.97
ANON-28d350,2026-02-26 01:35:40,High-Conv,304.5,85.57,0.96
ANON-5b7e7d,2026-02-26 01:44:08,High-Conv,219.89,74.17,0.86
ANON-49783a,2026-02-26 01:44:49,High-Conv,308.74,81.45,0.93
ANON-faae63,2026-02-26 01:47:33,High-Conv,359.92,84.7,0.87
ANON-16ae1d,2026-02-26 01:48:22,Entrance,61.17,55.13,0.69
ANON-896530,2026-02-26 01:51:36,High-Conv,313.42,89.23,0.93
ANON-55de8c,2026-02-26 01:54:17,High-Conv,324.17,79.38,0.95
ANON-151122,2026-02-26 01:55:43,Entrance,37.98,42.15,0.78
ANON-faab82,2026-02-26 02:00:07,High-Conv,460.07,97.94,0.94
ANON-5ace19,2026-02-26 02:02:13,High-Conv,306.72,83.26,0.88
ANON-3d5bdf,2026-02-26 02:02:45,Entrance,19.03,38.84,0.78
ANON-7f37a6,2026-02-26 02:03:57,Entrance,36.78,41.7,0.82
ANON-2d3b86,2026-02-26 02:05:16,Checkout,99.94,60.11,0.87
ANON-9cf906,2026-02-26 02:07:02,Checkout,151.81,70.68,0.88
ANON-5b4565,2026-02-26 02:09:49,Entrance,12.98,33.3,0.79
ANON-50cc82,2026-02-26 02:12:10,Checkout,109.3,62.7,0.94
ANON-0e45c9,2026-02-26 02:17:13,Checkout,127.73,59.35,0.99
ANON-ec5305,2026-02-26 02:17:17,Entrance,5.0,12.71,0.73
ANON-36a0f4,2026-02-26 02:18:41,Entrance,38.97,42.58,0.73
ANON-6817d2,2026-02-26 02:20:24,Checkout,151.17,67.25,0.86
ANON-d5ba19,2026-02-26 02:25:06,Checkout,139.13,66.45,0.97
ANON-8a8873,2026-02-26 02:27:14,Checkout,4722.61,30.06111611780505,0.91
ANON-653d9f,2026-02-26 02:27:58,High-Conv,571.52,99.43,0.96
ANON-089784,2026-02-26 02:31:18,Checkout,125.47,77.72,0.87
ANON-b917f0,2026-02-26 02:33:03,High-Conv,176.35,73.48,0.94
ANON-7e2410,2026-02-26 02:33:30,Entrance,35.72,46.14,0.73
ANON-272790,2026-02-26 02:36:30,High-Conv,310.66,81.41,0.86
ANON-b67804,2026-02-26 02:38:08,Entrance,24.56,38.66,0.73
ANON-08bb7c,2026-02-26 02:39:52,Checkout,109.03,63.31,0.89
ANON-743485,2026-02-26 02:42:36,Entrance,17.81,37.71,0.87
ANON-7dc13d,2026-02-26 02:43:37,Checkout,74.87,58.86,0.97
ANON-193480,2026-02-26 02:43:38,High-Conv,168.48,76.68,0.91
ANON-de27f9,2026-02-26 02:47:32,Checkout,187.33,79.47,0.87
ANON-ecdd99,2026-02-26 02:47:52,Checkout,103.3,62.69,0.9
ANON-8a8708,2026-02-26 02:53:54,High-Conv,276.51,74.95,0.9
ANON-4588ee,2026-02-26 02:54:48,Checkout,7480.48,38.04680536273648,0.97
ANON-0dfd15,2026-02-26 02:55:05,High-Conv,342.36,92.17,0.98
ANON-2b2a90,2026-02-26 02:58:19,Checkout,19.65,49.21,0.97
ANON-938c6b,2026-02-26 03:00:41,Checkout,129.83,66.68,0.87
ANON-207c77,2026-02-26 03:04:00,Checkout,78.43,52.0,0.9
ANON-295f9a,2026-02-26 03:07:38,Entrance,28.07,41.79,0.85
ANON-48ec5a,2026-02-26 03:08:31,Checkout,188.26,69.66,0.99
ANON-168a45,2026-02-26 03:10:18,Checkout,111.84,60.75,0.95
ANON-225139,2026-02-26 03:10:50,Checkout,98.51,62.37,0.99
ANON-aaef24,2026-02-26 03:11:21,Entrance,23.06,27.32,0.8
ANON-178d26,2026-02-26 03:13:36,High-Conv,368.07,92.09,0.98
ANON-2f430c,2026-02-26 03:13:46,Checkout,129.55,64.75,0.86
ANON-628bc8,2026-02-26 03:14:32,High-Conv,222.96,85.95,0.96
ANON-460f3f,2026-02-26 03:15:55,High-Conv,274.91,80.0,0.92
ANON-92cfdd,2026-02-26 03:17:11,Checkout,127.29,61.61,0.85
ANON-d25ae4,2026-02-26 03:24:19,Entrance,30.02,45.63,0.68
ANON-ea6c16,2026-02-26 03:27:48,High-Conv,7.27,23.14,0.93
ANON-a12527,2026-02-26 03:28:11,Checkout,151.05,60.39,0.87
ANON-0ac07a,2026-02-26 03:28:49,High-Conv,243.34,80.59,0.9
ANON-1977b0,2026-02-26 03:34:18,Checkout,204.59,81.52,0.89
ANON-41a0b4,2026-02-26 03:34:23,Checkout,105.82,59.49,0.94
ANON-d0fd3b,2026-02-26 03:37:44,Entrance,21.86,29.29,0.77
ANON-b64ac0,2026-02-26 03:38:55,Entrance,31.88,49.23,0.86
ANON-635940,2026-02-26 03:41:57,Checkout,147.59,68.29,0.94
ANON-3e3706,2026-02-26 03:43:45,Checkout,138.85,61.46,0.92
ANON-294f34,2026-02-26 03:46:53,High-Conv,380.07,90.03,0.88
ANON-eaa44d,2026-02-26 03:51:27,High-Conv,239.18,77.77,0.94
ANON-163ef1,2026-02-26 03:53:43,High-Conv,200.53,79.14,0.97
ANON-4ad792,2026-02-26 03:55:49,High-Conv,216.36,74.48,0.94
ANON-c74b6c,2026-02-26 03:55:57,High-Conv,355.64,87.5,0.89
ANON-bc12f3,2026-02-26 03:58:15,Checkout,199.33,77.26,0.95
ANON-04931d,2026-02-26 03:59:20,Checkout,47.48,46.53,0.97
ANON-4a9f3f,2026-02-26 04:01:28,Checkout,81.77,60.01,0.94
ANON-9ac187,2026-02-26 04:01:38,Checkout,69.7,56.69,0.91
ANON-fac30a,2026-02-26 04:02:11,High-Conv,423.84,94.13,0.93
ANON-f88016,2026-02-26 04:05:17,Checkout,217.54,62.51,0.88
ANON-9b7848,2026-02-26 04:06:28,High-Conv,375.94,81.67,0.86
ANON-c1b807,2026-02-26 04:09:34,Entrance,24.44,38.98,0.81
ANON-999a4a,2026-02-26 04:11:11,Entrance,16.79,37.99,0.84
ANON-2aafae,2026-02-26 04:13:50,Checkout,69.77,53.92,0.94
ANON-f447dd,2026-02-26 04:15:51,High-Conv,225.02,77.72,0.96
ANON-1f249c,2026-02-26 04:16:41,High-Conv,412.14,85.97,0.85
ANON-47e4ec,2026-02-26 04:16:58,High-Conv,490.0,96.94,0.95
ANON-abc7fc,2026-02-26 04:18:16,High-Conv,275.84,82.88,0.89
ANON-5bdab5,2026-02-26 04:19:46,High-Conv,262.24,72.76,0.86
ANON-53fe91,2026-02-26 04:23:03,Checkout,141.78,64.21,0.94
ANON-738e71,2026-02-26 04:25:19,High-Conv,8.41,21.33,0.95
ANON-c91c0b,2026-02-26 04:25:50,Entrance,36.67,43.21,0.78
ANON-aa934a,2026-02-26 04:27:53,Checkout,240.37,71.96,0.88
ANON-72c9c3,2026-02-26 04:28:56,High-Conv,99.62,64.88,0.96
ANON-963a90,2026-02-26 04:32:30,High-Conv,95.51,60.13,0.96
ANON-f8fa6f,2026-02-26 04:32:37,High-Conv,111.2,62.06,0.89
ANON-b249e3,2026-02-26 04:32:53,High-Conv,427.85,95.3,0.89
ANON-e6e2d2,2026-02-26 04:34:00,Entrance,30.07,41.79,0.8
ANON-cb1a21,2026-02-26 04:34:31,Entrance,33.6,42.57,0.66
ANON-7ebbb2,2026-02-26 04:35:52,Entrance,39.85,34.66,0.71
ANON-6d9968,2026-02-26 04:39:08,High-Conv,342.65,86.5,0.89
ANON-7fbea1,2026-02-26 04:40:50,High-Conv,323.5,83.22,0.86
ANON-9e54e6,2026-02-26 04:42:16,Checkout,122.77,66.74,0.88
ANON-b6c6c3,2026-02-26 04:42:24,Checkout,78.39,54.77,0.91
ANON-fc10a4,2026-02-26 04:43:57,Checkout,47.18,46.79,0.87
ANON-360382,2026-02-26 04:44:09,High-Conv,143.35,64.39,0.96
ANON-d4725b,2026-02-26 04:48:17,Checkout,162.47,73.96,0.93
ANON-3dcb30,2026-02-26 04:53:50,High-Conv,400.43,95.64,0.85
ANON-768394,2026-02-26 04:54:07,Entrance,19.56,34.97,0.8
ANON-69976b,2026-02-26 04:57:11,High-Conv,268.93,82.45,0.93
ANON-a6bcf0,2026-02-26 04:57:19,Checkout,140.8,65.03,0.86
ANON-90d9d3,2026-02-26 04:58:09,Checkout,119.97,62.58,0.93
ANON-a1398f,2026-02-26 05:03:36,High-Conv,262.96,87.8,0.86
ANON-f2315f,2026-02-26 05:03:59,Entrance,31.68,44.13,0.8
ANON-76d053,2026-02-26 05:05:18,Entrance,42.57,42.49,0.8
ANON-f426ec,2026-02-26 05:05:30,Entrance,18.66,36.31,0.7
ANON-774451,2026-02-26 05:06:00,High-Conv,448.7,90.95,0.96
ANON-611f29,2026-02-26 05:06:16,Checkout,168.55,71.18,0.98
ANON-0c2204,2026-02-26 05:06:22,Checkout,165.23,66.26,0.87
ANON-5954cf,2026-02-26 05:07:55,High-Conv,242.01,78.13,0.88
ANON-085f9d,2026-02-26 05:08:51,Entrance,24.98,40.76,0.82
ANON-e710f9,2026-02-26 05:10:51,High-Conv,198.78,69.81,0.88
ANON-81b2b7,2026-02-26 05:14:39,Entrance,35.37,46.72,0.7
ANON-ab293e,2026-02-26 05:15:38,Entrance,14.4,22.0,0.65
ANON-1d9529,2026-02-26 05:16:37,Checkout,157.76,69.75,0.96
ANON-674664,2026-02-26 05:19:22,High-Conv,307.42,78.72,0.98
ANON-5865fd,2026-02-26 05:23:52,Checkout,151.29,67.61,0.86
ANON-92b948,2026-02-26 05:24:15,Checkout,85.08,55.17,0.9
ANON-e881ed,2026-02-26 05:24:25,Checkout,221.4,80.02,0.87
ANON-44adde,2026-02-26 05:25:10,Checkout,80.76,56.24,0.91
ANON-bf76ba,2026-02-26 05:25:36,Checkout,80.05,48.75,0.88
ANON-8da740,2026-02-26 05:28:38,Entrance,11138.99,32.19757310467599,0.87
ANON-f0c8b5,2026-02-26 05:28:56,Entrance,30.55,44.59,0.73
ANON-6b1b4c,2026-02-26 05:31:39,Entrance,30.19,42.08,0.71
ANON-d481b9,2026-02-26 05:31:59,Checkout,84.0,69.98,0.93
ANON-2a9971,2026-02-26 05:32:45,High-Conv,361.79,85.28,0.99
ANON-ea069e,2026-02-26 05:34:11,High-Conv,379.5,89.24,0.93
ANON-0ad562,2026-02-26 05:43:39,Checkout,220.46,71.84,0.87
ANON-95336e,2026-02-26 05:43:59,Checkout,142.61,69.91,0.98
ANON-c4fbd6,2026-02-26 05:44:11,Entrance,13.72,33.84,0.78
ANON-05a1ba,2026-02-26 05:50:59,Checkout,86.8,66.35,0.87
ANON-1b9037,2026-02-26 06:00:20,High-Conv,262.23,74.61,0.87
ANON-8a1c16,2026-02-26 06:02:20,Entrance,35.75,29.41,0.86
ANON-5b614e,2026-02-26 06:02:54,Checkout,88.89,59.75,0.94
ANON-fef10a,2026-02-26 06:04:49,Checkout,111.03,69.06,0.94
ANON-a3a087,2026-02-26 06:05:48,High-Conv,336.59,92.21,0.92
ANON-0aca4c,2026-02-26 06:05:58,Entrance,12.29,31.87,0.85
ANON-010578,2026-02-26 06:10:36,Checkout,44.26,50.21,0.87
ANON-ad875d,2026-02-26 06:14:49,High-Conv,200.06,78.31,0.92
ANON-4a40b3,2026-02-26 06:15:08,High-Conv,83.13,55.26,0.9
ANON-4d2348,2026-02-26 06:17:49,High-Conv,317.55,87.2,0.88
ANON-b82e9b,2026-02-26 06:18:42,Checkout,142.53,65.85,0.88
ANON-0e980b,2026-02-26 06:20:27,High-Conv,166.13,71.56,0.97
ANON-0323b7,2026-02-26 06:23:58,High-Conv,515.43,98.77,0.92
ANON-d3663f,2026-02-26 06:26:13,Entrance,35.93,39.0,0.88
ANON-b9e02b,2026-02-26 06:26:43,Checkout,166.93,62.95,0.89
ANON-b37915,2026-02-26 06:27:57,High-Conv,517.66,96.09,0.96
ANON-d224b8,2026-02-26 06:28:32,Entrance,27.77,44.84,0.68
ANON-20ff4f,2026-02-26 06:33:07,Checkout,201.68,77.96,0.86
ANON-0dbb0b,2026-02-26 06:33:13,High-Conv,282.45,83.16,0.95
ANON-5592b0,2026-02-26 06:33:49,Entrance,22.67,28.11,0.85
ANON-e034db,2026-02-26 06:34:08,High-Conv,267.16,86.52,0.97
ANON-3b1c99,2026-02-26 06:38:47,High-Conv,253.65,89.1,0.87
ANON-57b5fc,2026-02-26 06:40:04,High-Conv,284.23,85.21,0.89
ANON-fcc459,2026-02-26 06:40:35,Entrance,42.75,42.79,0.7
ANON-0129f0,2026-02-26 06:42:42,Entrance,22.75,37.42,0.86
ANON-e913df,2026-02-26 06:42:46,High-Conv,407.05,82.11,0.87
ANON-13efa2,2026-02-26 06:48:53,Checkout,125.64,57.75,0.88
ANON-4b537f,2026-02-26 06:49:24,Entrance,27.89,43.34,0.85
ANON-8e0fa3,2026-02-26 06:53:22,High-Conv,248.58,81.79,0.99
ANON-fd8b62,2026-02-26 06:53:58,Checkout,139.52,64.38,0.85
ANON-4b5b74,2026-02-26 06:56:09,Entrance,25.76,43.06,0.7
ANON-b2d791,2026-02-26 06:56:29,Checkout,90.4,52.21,0.92
ANON-5633ca,2026-02-26 07:00:50,Checkout,162.92,65.77,0.86
ANON-b87366,2026-02-26 07:02:39,High-Conv,298.05,89.94,0.93
ANON-e0aeeb,2026-02-26 07:05:25,High-Conv,260.8,83.45,0.94
ANON-90f2c8,2026-02-26 07:05:48,Checkout,93.31,63.65,0.93
ANON-7f92d5,2026-02-26 07:07:10,High-Conv,315.05,84.57,0.9
ANON-bcdf32,2026-02-26 07:12:30,Checkout,126.98,56.94,0.9
ANON-256fbd,2026-02-26 07:21:22,High-Conv,580.12,99.28,0.89
ANON-b32c47,2026-02-26 07:22:31,High-Conv,257.53,79.38,0.95
ANON-65e1f2,2026-02-26 07:27:04,Entrance,44.81,41.45,0.81
ANON-66e292,2026-02-26 07:28:42,Checkout,110.15,62.15,0.94
ANON-83fd90,2026-02-26 07:30:56,High-Conv,5.0,23.45,0.86
ANON-cf2510,2026-02-26 07:33:05,High-Conv,206.5,79.55,0.98
ANON-00c105,2026-02-26 07:37:00,High-Conv,314.58,82.69,0.97
ANON-d3e0a1,2026-02-26 07:39:29,High-Conv,320.9,75.21,0.92
ANON-c4a0b8,2026-02-26 07:40:22,Checkout,105.99,66.59,0.98
ANON-aafc1b,2026-02-26 07:40:49,Entrance,21.8,43.19,0.76
ANON-e78bdb,2026-02-26 07:40:55,Checkout,95.48,55.26,0.99
ANON-a453ff,2026-02-26 07:41:45,High-Conv,148.98,68.08,0.96
ANON-43a9a4,2026-02-26 07:43:58,High-Conv,13940.34,28.179656403334736,0.85
ANON-c38288,2026-02-26 07:51:55,Entrance,24.74,31.21,0.7
ANON-d9860e,2026-02-26 07:54:08,Entrance,20.06,42.76,0.81
ANON-190eb8,2026-02-26 07:55:19,Checkout,122.91,60.63,0.85
ANON-166a29,2026-02-26 07:57:21,Entrance,21.52,36.53,0.79
ANON-1fe7d2,2026-02-26 08:00:19,Checkout,79.8,60.54,0.92
ANON-db8411,2026-02-26 08:02:48,Entrance,33.75,46.57,0.74
ANON-4e3aae,2026-02-26 08:03:23,Checkout,102.63,65.44,0.94
ANON-989f2c,2026-02-26 08:04:04,Checkout,110.01,63.75,0.95
ANON-777bfd,2026-02-26 08:04:17,Checkout,153.0,74.99,0.92
ANON-6134f1,2026-02-26 08:07:57,Checkout,42.84,53.24,0.87
ANON-4717f7,2026-02-26 08:11:55,High-Conv,258.07,74.97,0.87
ANON-68709f,2026-02-26 08:12:41,Checkout,158.45,59.96,0.94
ANON-b0849d,2026-02-26 08:13:23,High-Conv,296.45,83.85,0.94
ANON-c61cd7,2026-02-26 08:20:05,High-Conv,320.14,88.89,0.96
ANON-ee391e,2026-02-26 08:21:20,High-Conv,309.92,89.43,0.87
ANON-e3b611,2026-02-26 08:23:10,Entrance,44.78,46.2,0.73
ANON-223d63,2026-02-26 08:25:42,High-Conv,288.94,81.93,0.93
ANON-1aeb78,2026-02-26 08:26:29,Checkout,36.86,46.36,0.98
ANON-2b3fb2,2026-02-26 08:27:21,Checkout,181.81,67.95,0.93
ANON-9e2a08,2026-02-26 08:29:34,Checkout,135.61,71.75,0.93
ANON-e279d3,2026-02-26 08:38:04,Checkout,61.98,58.89,0.97
ANON-a7f3a2,2026-02-26 08:44:29,Entrance,24.45,35.33,0.67
ANON-193542,2026-02-26 08:46:01,High-Conv,203.05,67.08,0.9
ANON-2409b9,2026-02-26 08:46:44,High-Conv,294.28,82.9,0.95
ANON-fce743,2026-02-26 08:47:56,Checkout,150.38,61.37,0.95
ANON-eec015,2026-02-26 08:48:51,High-Conv,196.19,64.37,0.96
ANON-288536,2026-02-26 08:49:14,Checkout,106.96,67.86,0.86
ANON-c9b2d8,2026-02-26 08:50:02,Entrance,23.27,42.29,0.79
ANON-bc2ceb,2026-02-26 08:50:39,High-Conv,311.79,83.29,0.91
ANON-191ad2,2026-02-26 08:53:58,High-Conv,311.89,81.01,0.95
ANON-3a4480,2026-02-26 08:54:47,High-Conv,402.58,89.05,0.93
ANON-3f7fc5,2026-02-26 08:57:43,Entrance,43.8,48.8,0.78
ANON-f0847f,2026-02-26 09:00:46,Entrance,33.99,42.2,0.73
ANON-dbd5f1,2026-02-26 09:01:26,High-Conv,235.14,83.54,0.94
ANON-27d7a6,2026-02-26 09:01:39,High-Conv,245.68,70.97,0.94
ANON-f4c58a,2026-02-26 09:04:40,Checkout,107.17,54.43,0.89
ANON-a50476,2026-02-26 09:06:23,Checkout,101.65,57.79,0.86
ANON-c93491,2026-02-26 09:06:34,High-Conv,115.4,70.91,0.87
ANON-4ea655,2026-02-26 09:12:46,High-Conv,291.67,83.57,0.91
ANON-d1f916,2026-02-26 09:13:18,High-Conv,421.88,91.83,0.96
ANON-2cc125,2026-02-26 09:15:06,Entrance,38.94,50.12,0.84
ANON-688ce1,2026-02-26 09:15:34,Entrance,29.19,44.48,0.7
ANON-a9244d,2026-02-26 09:17:46,High-Conv,300.87,76.4,0.93
ANON-2b0f57,2026-02-26 09:17:49,Entrance,19.56,29.03,0.82
ANON-0da685,2026-02-26 09:19:45,Checkout,192.9,80.67,0.91
ANON-6fa4bd,2026-02-26 09:21:44,Entrance,36.14,43.94,0.87
ANON-e8a8cc,2026-02-26 09:21:48,High-Conv,365.09,80.67,0.88
ANON-d1f2dd,2026-02-26 09:26:33,Checkout,117.59,63.05,0.96
ANON-a9b9c8,2026-02-26 09:27:17,Checkout,106.99,57.72,0.94
ANON-db21ca,2026-02-26 09:29:12,Checkout,95.85,49.39,0.86
ANON-c4db49,2026-02-26 09:30:10,Checkout,105.27,66.93,0.91
ANON-1cd1d9,2026-02-26 09:32:08,High-Conv,303.08,83.75,0.91
ANON-58a3e7,2026-02-26 09:42:49,Checkout,119.92,60.53,0.88
ANON-11d4c8,2026-02-26 09:44:07,Entrance,21.79,38.16,0.82
ANON-e93f39,2026-02-26 09:49:25,High-Conv,7770.09,22.001277891465406,0.9
ANON-cbcdf1,2026-02-26 09:49:39,High-Conv,11739.8,36.678589242025176,0.99
ANON-fd5364,2026-02-26 09:54:18,Entrance,36.99,44.59,0.88
ANON-984e6d,2026-02-26 09:56:09,Checkout,204.04,73.38,0.92
ANON-377d03,2026-02-26 09:58:29,Checkout,140.15,63.75,0.87
ANON-0e0248,2026-02-26 09:59:07,Checkout,120.82,56.26,0.9
ANON-05e7b2,2026-02-26 10:02:39,High-Conv,237.27,80.98,0.95
ANON-22d317,2026-02-26 10:04:47,High-Conv,236.88,67.1,0.92
ANON-449e9e,2026-02-26 10:06:23,High-Conv,286.73,84.06,0.9
ANON-3f67ab,2026-02-26 10:07:26,High-Conv,222.13,73.41,0.92
ANON-e869e7,2026-02-26 10:08:39,Checkout,156.41,67.84,0.89
ANON-a6f63a,2026-02-26 10:13:54,Entrance,23.98,32.61,0.82
ANON-86d75c,2026-02-26 10:14:40,Checkout,191.37,65.86,0.87
ANON-c4a7a0,2026-02-26 10:17:42,High-Conv,379.81,82.52,0.93
ANON-0a643d,2026-02-26 10:19:25,Checkout,96.86,53.94,0.86
ANON-976bd2,2026-02-26 10:21:03,Checkout,59.51,41.72,0.88
ANON-d2004f,2026-02-26 10:21:20,Entrance,15.26,41.27,0.75
ANON-4aabd8,2026-02-26 10:24:31,Checkout,73.88,56.46,0.97
ANON-f545dc,2026-02-26 10:28:34,Checkout,114.97,59.71,0.91
ANON-1f400e,2026-02-26 10:28:42,High-Conv,316.98,82.84,0.98
ANON-3a47f1,2026-02-26 10:29:38,High-Conv,349.96,93.75,0.92
ANON-7c6cfa,2026-02-26 10:31:22,Checkout,175.09,70.28,0.93
ANON-0eaeaa,2026-02-26 10:31:32,Entrance,40.44,36.82,0.74
ANON-b6fb18,2026-02-26 10:32:18,High-Conv,442.01,95.94,0.93
ANON-fd6858,2026-02-26 10:35:48,High-Conv,505.19,98.6,0.86
